概念名称,分类,counts
阅兵,军工,34
辅助生殖,行业,53
鸿蒙,知名企业,34
小鹏汽车,知名企业,34
负极材料,行业,16
富勒烯,行业,2
富媒体,行业,30
覆铜板,行业,12
滨海新区,区域,33
钙钛矿电池,行业,17
甘蔗废料利用,行业,3
海洋经济,事件,33
肝素,行业,15
肝炎,行业,109
感知氧气,行业,4
干细胞,行业,13
钢结构,行业,15
高端装备,行业,193
高岭土,行业,4
特色小镇,事件,32
高铁,行业,72
高校,行业,20
高压快充,行业,25
铬铁,行业,2
工程建材,行业,12
工控信息安全,行业,4
工业大麻,行业,52
人民币升值,交易,31
京东,知名企业,31
禽流感,事件,31
工业互联网,行业,156
工业机器人,行业,88
工业节水,行业,5
工业母机,行业,49
工业用地,行业,32
公路建设,行业,10
海南自贸区,区域,30
深圳国资改革,区域,30
雄安基建,区域,30
供销社,行业,13
供应链金融,行业,50
共享办公,行业,3
共享单车,行业,9
共享汽车,行业,10
快手,知名企业,29
共享医院,行业,3
骨传导,行业,5
钴,行业,28
贸易战受益股,事件,29
宽带中国,事件,29
固废处理,行业,103
固态电池,行业,25
光伏,行业,356
光伏玻璃,行业,17
安徽国资改革,区域,28
光伏建筑一体化,行业,74
光刻胶,行业,40
光热,行业,10
湖南国资改革,区域,28
自由贸易港,区域,28
光纤,行业,33
光纤光缆,行业,18
广播电视,行业,20
广告营销,行业,49
三星,知名企业,28
硅晶圆,行业,5
硅能源,行业,28
轨道交通,行业,130
国产航母,行业,38
收入改革,改革,27
国产伟哥,行业,8
海岛整治修复,行业,5
海底捞,行业,10
海底隧道,行业,4
智慧灯杆,事件,26
优先股,交易,26
中非合作,区域,26
海工装备,行业,34
海绵城市,行业,39
海上风电,行业,50
海水淡化,行业,20
油品改革,改革,25
海洋油污清理,行业,5
航空发动机,行业,40
航空航天,行业,77
航空租赁,行业,8
航运,行业,28
航运港口,行业,19
合成革,行业,6
北京自贸区,区域,25
信托,交易,25
合肥迪士尼,行业,3
核电,行业,137
海峡两岸,事件,24
三网融合,事件,24
核污染防治,行业,16
室外经济,事件,24
黑洞,行业,9
红枣,行业,3
虹膜识别,行业,8
互联网保险,行业,20
互联网彩票,行业,17
社区团购,事件,23
互联网电力,行业,3
互联网钢铁,行业,8
国开行,交易,23
互联网金融,行业,123
互联网券商,行业,14
两江新区,区域,23
互联网医疗,行业,83
辉瑞,知名企业,23
互联网银行,行业,11
沪锡,行业,3
化肥,行业,50
化妆护肤品,行业,43
环保包装,行业,18
世界杯,事件,22
中航系,国企体系,22
环己酮,行业,1
东盟自贸区,区域,22
环境监测,行业,19
环氧丙烷,行业,11
油价下调,事件,22
共享经济,事件,22
环氧树脂,行业,5
换电,行业,45
换芯,行业,9
黄金,行业,56
智慧党建,事件,21
黄金水道,行业,8
黄金租赁,行业,6
鄱阳湖经济区,区域,21
长江经济带,区域,21
辉钼,行业,5
华为海思股,知名企业,21
土地增值,事件,21
婚庆,行业,6
物联网平台层,细分行业,20
活性炭,行业,3
机器人,行业,294
机器人材料,行业,5
四川国资改革,区域,20
机器视觉,行业,64
机器学习,行业,8
机械装备,行业,18
东北亚经贸中心,区域,20
鸡尾酒,行业,3
基建工程,行业,47
基因测序,行业,47
基因疗法,行业,6
雄安环保,区域,20
基因芯片,行业,9
基站射频,行业,11
基站天线,行业,6
激光,行业,27
双十一,事件,20
中朝贸易区,区域,20
租售同权,事件,20
超级真菌,事件,20
激光器,行业,18
集成电路,行业,165
西气东输,事件,19
集装箱,行业,8
己二酸,行业,3
国家科技大会,事件,19
浦东新区,区域,19
河南国资改革,区域,19
家禽养殖,行业,6
进口博览会,事件,19
家庭医生,行业,22
三沙,区域,19
家用电器,行业,72
甲醇,行业,29
甲醛,行业,4
甲酸,行业,3
甲乙酮,行业,3
钾肥,行业,17
驾驶培训,行业,3
减速器,行业,25
建筑节能,行业,62
建筑涂料,行业,12
国资云,事件,18
交通一卡通,行业,6
胶合板,行业,7
胶原蛋白,行业,3
中兵系,国企体系,18
焦煤,行业,7
焦炭,行业,14
节能电机,行业,12
节能环保,行业,234
节能减排,行业,25
节能照明,行业,77
节水灌溉,行业,11
金刚石（线）,行业,16
金控平台,行业,10
山西国资改革,区域,17
华为欧拉,知名企业,17
抗艾滋病,事件,17
金融IC,行业,27
北交所,交易,17
金融科技,行业,65
金融信息服务,行业,10
金属回收,行业,20
金属镁,行业,3
金属锰,行业,7
商品新零售,事件,17
金属镍,行业,25
金属铅,行业,16
金属锑,行业,6
金属铜,行业,34
金属锌,行业,20
锦纶,行业,8
反恐,事件,17
精装修,行业,34
净水,行业,16
聚丙烯,行业,22
棚户区改造,事件,17
宠物经济,事件,16
聚土地,行业,8
抗癌,行业,88
珠海国资改革,区域,16
抗肝癌,行业,5
抗寒,行业,19
抗旱,行业,17
抗肿瘤,行业,48
海南旅游岛,区域,16
科技保险,行业,1
可降解塑料,行业,62
中原经济区,区域,16
可燃冰,行业,12
facebook,知名企业,16
湖北国资改革,区域,16
空气净化,行业,20
空铁WIFI,行业,7
口罩,行业,159
跨境电商,行业,94
跨境支付（CIPS）,行业,35
B转H,交易,16
快递,行业,13
矿山生态修复,行业,4
垃圾发电,行业,41
中巴经济走廊,区域,15
联想,知名企业,15
郭台铭,事件,15
垃圾分类,行业,91
福建自贸区,区域,15
蓝宝石,行业,27
雷达,行业,23
拼多多,知名企业,15
抖音小店,知名企业,15
类稀土,行业,5
冷链物流,行业,109
锂电池,行业,306
锂电隔膜,行业,11
两会,事件,15
锂电设备,行业,20
林场改革,改革,15
锂电原料,行业,44
锂电制造,行业,26
锂矿,行业,20
沥青,行业,5
埃博拉,事件,14
参股万达商业,交易,14
粮食,行业,26
两轮车,行业,18
重庆自贸区,区域,14
舟山新区,区域,14
量子霍尔,行业,2
量子科技,行业,39
天津国资改革,区域,14
中科院系,国企体系,14
钌催化剂,行业,3
临近空间,行业,1
磷化工,行业,44
磷酸铁锂,行业,44
王者荣耀,知名企业,14
磷酸一铵,行业,9
流媒体,行业,6
硫磺,行业,4
硫酸铵,行业,2
硫酸钾,行业,4
六氟磷酸锂,行业,13
裸眼3D,行业,11
雄安金融,区域,13
旅游,行业,69
铝材加工,行业,24
铝电解电容,行业,6
油品升级,改革,13
铝离子电池,行业,3
绿色电力,行业,121
重庆国资改革,区域,13
中铁系,国企体系,13
绿色建筑,行业,51
绿色轮胎,行业,8
绿色消费,行业,5
氯化铵,行业,4
兰新白试验区,区域,13
盲盒,行业,9
中材系,国企体系,13
毛发医疗,行业,12
三农,事件,13
药品信息化追溯,事件,13
煤层气,行业,15
煤化工,行业,75
煤炭,行业,60
煤头尿素,行业,5
密码安全管理,行业,6
棉,行业,12
环球主题公园,区域,12
棉花种植,行业,5
棉纱,行业,6
免税店,行业,38
农垦改革,改革,12
面粉,行业,2
民爆,行业,18
民用无人机,行业,3
吉林国资改革,区域,12
膜材料,行业,18
平潭免税区,区域,12
甘肃国资改革,区域,12
魔兽,行业,3
钼,行业,11
国际板,交易,12
辽宁国资改革,区域,12
纳米抗擦墨,行业,2
油价上调,事件,12
广东自贸区,区域,12
滴滴股,知名企业,12
微信,知名企业,12
钠离子电池,行业,29
新疆建设兵团,区域,12
谷歌,知名企业,12
煤价下跌受益,事件,12
奶牛养殖,行业,3
脑科学,行业,7
宝能系,国企体系,12
内存,行业,5
能源互联网,行业,44
铌,行业,3
尿不湿,行业,4
尿素,行业,15
天津自贸区,区域,11
镍氢电池,行业,7
牛羊肉,行业,7
农机,行业,31
大连自贸区,区域,11
农业种植,行业,43
浦东前滩,区域,11
疟疾,行业,6
商汤科技,知名企业,11
培育钻石,行业,14
美团股,知名企业,11
啤酒,行业,14
南沙新区,区域,11
蜱虫,行业,10
片碱,行业,2
平面媒体,行业,21
西尼罗病毒,事件,11
屏下指纹技术,行业,7
中韩自贸区,区域,11
普洱茶,行业,2
EDA,行业,11
气凝胶,行业,5
汽车拆解,行业,14
汽车电商,行业,8
汽车电子,行业,182
汽车热管理,行业,72
航天系,国企体系,11
青岛自贸区,区域,11
汽车芯片,行业,46
汽车制造,行业,69
千金藤素,行业,9
西电东送,事件,11
云南国资改革,区域,11
厄尔尼诺,事件,11
铅蓄电池,行业,7
潜水运动,行业,1
青蒿素,行业,10
轻型合金,行业,8
氢氟酸,行业,16
氢能源,行业,168
沪台通,交易,10
区块链,行业,236
区块链储备,行业,17
霍乱,事件,10
区块链底层,行业,11
区块链应用,行业,43
全面屏,行业,8
马歇尔计划,事件,10
雄安地产,区域,10
大数据反恐,事件,10
全屋定制,行业,11
全息手机,行业,14
燃料电池,行业,156
燃料乙醇,行业,5
染料,行业,14
人参,行业,6
舟山自贸区,区域,10
人工角膜,行业,2
人工智能,行业,206
汽车关税下调,事件,10
中国电科系,国企体系,10
太空经济,事件,10
水价改革,改革,10
两桶油改革,改革,10
人机交互,行业,8
猪瘟疫情,事件,10
人力资源服务,行业,15
人脸识别,行业,52
人脑工程,行业,15
人造肉,行业,16
人造太阳,行业,6
新疆发展,区域,9
中船系,国企体系,9
融资租赁,行业,82
柔性屏,行业,68
柔性直流输电,行业,41
乳粉,行业,7
去IOE,交易,9
乳业,行业,29
上海金改,改革,9
瑞德西韦,行业,6
赛马,行业,9
圣诞节,事件,9
三氯化磷,行业,7
商超百货,行业,32
陕西自贸区,区域,9
京东金融,知名企业,9
烧碱,行业,22
奢侈品,行业,12
射频器,行业,10
涉矿,行业,110
砷化镓,行业,8
深紫外光,行业,4
肾透析,行业,6
生态农业,行业,36
农业信息化,事件,9
生物安全,行业,16
生物医药,行业,169
生物疫苗,行业,56
生物质能,行业,32
生物质能发电,行业,27
石灰石,行业,5
杭州湾大湾区,区域,8
嫦娥,事件,8
石墨电极,行业,15
石墨烯,行业,68
石墨烯手机,行业,4
大运会,事件,8
石墨烯油墨,行业,3
食品包装,行业,22
食盐,行业,9
食用油,行业,6
手机芯片,行业,2
手机游戏,行业,56
安徽自贸区,区域,8
手势识别,行业,9
兽药,行业,17
数据安全,行业,38
数据存储,行业,14
西安自贸区,区域,8
数据交易中心,行业,12
数据中心,行业,169
河南自贸区,区域,8
数字电视,行业,18
数字货币,行业,66
数字孪生,行业,54
数字视觉,行业,3
中央政务区,事件,8
数字营销,行业,24
南水北调,事件,8
数字阅读,行业,9
冬奥纪念品,事件,8
武汉光谷,区域,8
东湖高新园区,区域,8
双胶纸,行业,5
双氧水,行业,7
水产品,行业,12
水利,行业,99
水泥,行业,35
丝绸,行业,2
电信业整合,事件,8
家庭农场,事件,8
私人飞机,行业,7
饲料,行业,46
松脂,行业,3
塑化剂,行业,8
塑料钞票,行业,4
胎压监测,行业,27
太赫兹,行业,11
军用无人机,军工,8
太空望远镜,行业,4
太阳能,行业,84
APEC会议,事件,8
农村环境治理,农村,8
太阳能热水器,行业,5
态势感知,行业,13
钛白粉,行业,13
福建基建,区域,8
炭黑,行业,7
碳海绵,行业,2
碳化硅,行业,29
西咸新区,区域,7
碳基材料,行业,13
碳交易,行业,36
碳纤维,行业,28
北部湾自贸区,区域,7
陶瓷产品,行业,6
陶瓷电容,行业,8
海航系,国企体系,7
联通混改,改革,7
特钢,行业,24
水域改革,改革,7
融媒体,事件,7
情人节,事件,7
特高压,行业,81
民营金融,事件,7
特种玻璃,行业,12
K12教育,事件,7
体感3D,行业,4
体感交互,行业,4
体外诊断,行业,69
体育产业,行业,70
体育用品,行业,10
中概股回归,事件,7
南京国资改革,区域,7
天然气,行业,110
天然气管道,行业,13
黔中经济区,区域,7
寒武纪,知名企业,7
天然气锅炉,行业,3
铁矿石,行业,30
铁路基建,行业,38
新疆自贸区,区域,7
通信基站,行业,18
通用航空,行业,32
银屑病,事件,7
铜冶炼,行业,11
武汉自贸区,区域,7
透明工厂,行业,27
透明计算,行业,6
成都天府新区,区域,7
物联网传输层,细分行业,7
图像识别,行业,8
土豆,行业,3
明星参股,交易,7
土壤修复,行业,67
托育服务,行业,20
铁路混改,改革,6
脱硫脱硝,行业,31
挖掘机,行业,10
挖矿设备,行业,2
网络安全,行业,107
银联,知名企业,6
航运系,国企体系,6
网络电视,行业,13
雄安交通,区域,6
网络切片,行业,12
网络视频,行业,11
网络游戏,行业,59
寨卡病毒,事件,6
生态城乡,事件,6
网络直播,行业,92
网约车,行业,15
数字出版示范,事件,6
危废处理,行业,22
微电子,行业,6
贵州国资改革,区域,6
维生素,行业,28
尾气治理,行业,21
新版人民币,事件,6
卫星导航,行业,81
味精,行业,3
文化传媒,行业,183
文具,行业,4
污水处理,行业,156
钨,行业,10
中电投合并,国企体系,6
无感支付,行业,4
无人岛开发,行业,7
微信小程序,知名企业,6
无人机,行业,103
无人驾驶,行业,113
中远系,国企体系,6
无人零售,行业,18
无人银行,行业,8
中粮系,国企体系,6
无线充电,行业,33
无线耳机,行业,79
物联网,行业,251
物流电商平台,行业,20
物业管理,行业,45
武汉金改,改革,6
稀缺煤,行业,16
稀土永磁,行业,50
稀土整合,行业,3
稀有金属,行业,46
细胞免疫治疗,行业,28
纤维板,行业,7
农业供给侧改革,改革,6
显卡,行业,4
现代服务业,行业,11
线材,行业,6
线型,行业,12
箱板纸,行业,2
LG,知名企业,5
招商系,国企体系,5
象牙加工销售,行业,3
新疆旅游,区域,5
网易,知名企业,5
平安资管持股,交易,5
珠海主题公园,区域,5
橡胶,行业,15
消毒剂,行业,54
消防装备,行业,10
消费电子,行业,129
消费金融,行业,20
硝酸钠,行业,1
洞庭湖生态经济区,区域,5
小额贷款,行业,79
小额再贷款,行业,8
小金属,行业,128
苹果期货,交易,5
校车,行业,6
芯片,行业,331
芯片封装测试,行业,16
诚通系,国企体系,5
芯片设备,行业,7
农村金融,农村,5
澳交所,交易,5
芯片设计,行业,47
芯片制造,行业,17
锌电池,行业,8
锌二氧化锰,行业,3
国投系,国企体系,5
外资券商影子股,交易,5
新材料,行业,286
兰州自贸区,区域,5
新冠疫苗,行业,10
新媒体,行业,16
新能源,行业,169
正定新区,区域,5
老八股,交易,5
徐翔股,交易,5
新能源汽车,行业,555
新能源物流车,行业,15
新能源整车,行业,32
互联网期货,交易,5
新兴板,交易,5
新型杀菌剂,行业,3
新型烟草,行业,42
雄安软件,行业,4
雄安地热,区域,5
休闲零食,行业,14
溴素,行业,3
空中巴士,知名企业,5
新疆电源项目,区域,4
虚拟导游,行业,2
虚拟电厂,行业,42
中粮系国企改革,国企体系,4
参股外资金融,交易,4
嘉兴土改,改革,4
虚拟机器人,行业,4
虚拟数字人,行业,51
虚拟现实,行业,182
虚拟运营商,行业,10
血液制品,行业,11
票交所,交易,4
安徽城镇化,区域,4
牙科医疗,行业,18
猪肉收储,事件,4
轧板,行业,8
首都副中心,事件,4
长江防护林,区域,4
烟草,行业,26
岩棉,行业,7
广东基建,区域,4
盐湖提锂,行业,41
中俄自贸区,区域,4
紫光系,国企体系,4
盐酸,行业,4
福建物联网,区域,4
盐野义,行业,4
眼科医疗,行业,38
羊绒,行业,1
养鸡,行业,21
养老,行业,90
氧化铝,行业,4
大疆创新,知名企业,4
福建污染减排,区域,4
奥运会,事件,4
福建土改,改革,4
遥感技术,行业,12
页岩气,行业,36
液化气,行业,4
狂犬病,事件,4
中以自贸区,区域,4
液氯,行业,5
液态金属,行业,5
一体化压铸,行业,24
医疗废物处理,行业,31
医疗机器人,行业,8
医疗器械,行业,231
医美,行业,56
医学影像,行业,6
医药安全,行业,13
医药电商,行业,41
仪电仪表,行业,26
中澳自贸区,区域,4
胰岛素,行业,11
移动pos机,行业,4
移动购物,行业,10
移动金融,行业,8
渤海粮仓,区域,4
移动天线,行业,3
移动支付,行业,69
乙二醇,行业,12
乙肝治疗,行业,17
广西中医药,区域,3
乙烯,行业,1
以纸代塑,行业,10
忆阻器,行业,2
疫苗存储,行业,19
音乐产业,行业,9
铟,行业,8
萤石,行业,4
影视娱乐,行业,53
永磁高铁,行业,5
幽门螺杆菌,行业,62
重庆水资源,区域,3
油豆,行业,3
广州旅游,区域,3
油气管网,行业,7
油气开采,行业,25
五一出境游,事件,3
油气运输仓储,行业,11
油气装备,行业,12
油页岩,行业,8
铀矿,行业,8
游轮,行业,5
农信社改革,改革,3
游艇,行业,5
有轨电车,行业,5
有机硅,行业,36
腾讯音乐,知名企业,3
有机食品,行业,3
有色铝,行业,35
江苏污水处理,区域,3
幼儿教育,行业,20
余额宝,行业,9
余热发电,行业,12
赣南振兴,区域,3
鱼蛋白,行业,3
语音技术,行业,9
玉米,行业,18
预警机,行业,8
基金三方销售,交易,3
预制菜,行业,78
元器件,行业,59
元宇宙,行业,121
诺贝尔,事件,3
西沙旅游,区域,3
园林开发,行业,33
厚朴系,国企体系,3
月饼,行业,7
钒涨价,事件,3
月球车,行业,4
云办公,行业,32
云计算,行业,179
云通信,行业,6
云印刷,行业,6
云游戏,行业,21
再生水,行业,7
在线教育,行业,96
范冰冰股,交易,3
成泉资本持股,交易,3
在线旅游,行业,21
造纸转暖,行业,22
易信,知名企业,3
噪声防治,行业,16
郑州航空港,区域,2
黄光裕,事件,2
增强现实,行业,29
增碳剂,行业,3
珠港澳物流合作园,区域,2
湖南自贸区,区域,2
粘胶短纤,行业,8
征信,行业,19
正丁醇,行业,1
正极材料,行业,32
知识产权保护,行业,46
职业教育,行业,76
纸浆,行业,23
指纹技术,行业,18
指纹支付,行业,3
制冷剂,行业,5
高送转,交易,2
西藏国资改革,区域,2
质子交换膜,行业,9
智慧停车,行业,25
智能表,行业,12
智能玻璃,行业,2
智能穿戴,行业,71
人民币防伪,事件,2
智能电视,行业,18
中瑞自贸协定,区域,2
智能电网,行业,144
淘宝手机,知名企业,2
智能家居,行业,107
S股,交易,2
智能建筑,行业,15
智能交通,行业,82
智能金融,行业,3
黄金暴跌受益,事件,2
智能路由器,行业,8
百度金融,知名企业,2
智能汽车,行业,50
智能手表,行业,8
际华系,国企体系,2
智能物流,行业,72
智能眼镜,行业,8
智能医疗,行业,52
智能音箱,行业,19
智能制造,行业,78
史玉柱,事件,2
智能终端,行业,63
智能自行车,行业,3
中医药,行业,146
王亚伟持股,交易,1
重金属治理,行业,9
重组蛋白,行业,12
物产系,国企体系,1
台积电,知名企业,1
猪肉,行业,33
住房租赁,行业,17
外汇局持股,交易,1
中科系,国企体系,1
专网通信,行业,6
转基因,行业,11
装配式建筑,行业,82
自动售货机,行业,2
参股安世半导体,交易,1
棕榈油,行业,1
足球,行业,18
