股票代码,股票简称,流通市值,最新价,最新涨跌幅,所属同花顺行业,行业概念,事件概念,交易概念
001216.SZ,华瓷股份,9.33,14.82,10.022,轻工制造-家用轻工-其他家用轻工,"特高压,柔性直流输电","杭州亚运会,冬奥纪念品,冬奥会","新股与次新股,半年报预增,人民币贬值受益,参股银行,核准制次新股"
603768.SH,常青股份,42.55,20.86,10.021,交运设备-汽车零部件-汽车零部件Ⅲ,"新能源汽车,汽车制造",比亚迪,
002553.SZ,南方精工,28.3,12.08,10.018,交运设备-汽车零部件-汽车零部件Ⅲ,"航空航天,新能源汽车,工业机器人,减速器,汽车芯片,大飞机,集成电路,电子商务,无线耳机,机器人,芯片",比亚迪,
002768.SZ,国恩股份,48.54,27.46,10.016,基础化工-化工合成材料-改性塑料,"碳基材料,锂电池,足球,碳纤维,新能源汽车,风电,生物医药,可降解塑料,口罩,体育产业,新材料,充电桩","富士康,小米,华为,比亚迪","深股通,标普道琼斯A股"
002272.SZ,川润股份,23.36,7.03,10.016,机械设备-专用设备-工程机械,"光伏,余热发电,风电,高端装备,天然气锅炉,分布式发电,垃圾分类,超超临界发电,特高压","碳中和,军工",壳资源
603097.SH,江苏华辰,11.47,28.67,10.015,电力设备-电力设备-输变电设备,"光伏,智能电网,风电,储能,特高压,充电桩",,"核准制次新股,新股与次新股,高送转预期"
603211.SH,晋拓股份,13.74,20.22,10.011,交运设备-汽车零部件-汽车零部件Ⅲ,新能源汽车,,"核准制次新股,新股与次新股"
000635.SZ,英力特,31.31,10.33,10.011,基础化工-化学原料-氯碱,"消毒剂,光伏,氢能源,氟化工,石灰石,PVC,4D打印,电石","地方国资改革,央企国资改革",
301312.SZ,智立方,12.49,122.00,10.009,机械设备-自动化设备-工控设备,"元宇宙,高端装备,智能制造,机器人,机器视觉","工业4.0,苹果,华为,比亚迪","新股与次新股,人民币贬值受益,注册制次新股,融资融券,转融券标的,高送转预期"
603577.SH,汇金通,31.24,12.75,10.009,电力设备-电力设备-线缆部件及其他,"特高压,光伏",,
603191.SH,望变电气,25.55,30.67,10.007,电力设备-电力设备-输变电设备,"新材料,特钢","一带一路,贸易战受益股","核准制次新股,新股与次新股,半年报预增"
003007.SZ,直真科技,7.58,20.56,10.005,计算机-计算机应用-软件开发,"5G,SAAS,物联网,数据中心","东数西算（算力）,国产软件",
002876.SZ,三利谱,66.86,46.63,10.002,电子-光学光电子-面板,"超清视频,OLED,OLED材料,虚拟现实,柔性屏,VR设备",,深股通
000692.SZ,惠天热电,22.27,4.18,10.000,公用事业-电力-热力,抗寒,地方国资改革,
603070.SH,万控智造,14.52,24.20,10.000,电力设备-电力设备-输变电设备,"智能电网,数据中心",,"核准制次新股,新股与次新股"
002564.SZ,天沃科技,63.05,7.26,10.000,建筑装饰-建筑装饰-基础建设,"光伏,煤化工,风电,氢能源,高端装备,特高压,人造太阳,核电","军民融合,军工,油品升级,碳中和,一带一路,地方国资改革",
002853.SZ,皮阿诺,16.24,14.19,10.000,轻工制造-家用轻工-家具,"C2M,物联网,精装修,智能家居,全屋定制,电子商务","恒大,网红经济",养老金持股
002868.SZ,绿康生化,28.72,18.48,10.000,农林牧渔-农业服务-动物保健,兽药,"郭台铭,宠物经济",
002896.SZ,中大力德,65.15,48.18,10.000,机械设备-通用设备-金属制品,"减速器,机器人","工业4.0,国产替代",
002667.SZ,鞍重股份,60.98,26.40,10.000,机械设备-专用设备-能源及重型设备,"锂电池,高端装备,锂矿,垃圾分类,磷酸铁锂",油品改革,"壳资源,半年报预增"
603138.SH,海量数据,45.87,16.39,10.000,计算机-计算机应用-IT服务,"数据中心,数据安全,大数据,数据存储,云计算",,平安资管持股
603530.SH,神马电力,13.83,19.14,10.000,电力设备-电力设备-线缆部件及其他,"特高压,柔性直流输电,智能电网,橡胶",一带一路,
002421.SZ,达实智能,66.59,3.74,10.000,计算机-计算机应用-IT服务,"人工智能,物联网,轨道交通,家庭医生,绿色建筑,数字孪生,数据中心,二维码识别,互联网医疗,边缘计算,无人驾驶,智能建筑,区块链,机器人,建筑节能","恒大,碳中和,华为,腾讯,数字中国,方舱医院,疫情监测,智慧城市","深股通,富时罗素,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
603800.SH,道森股份,81.0,38.94,10.000,机械设备-专用设备-能源及重型设备,"页岩气,油气开采,天然气",,人民币贬值受益
600586.SH,金晶科技,147.73,10.34,10.000,建筑材料-建筑材料-玻璃玻纤,"光伏,低辐射玻璃（Low-E）,绿色建筑,玻璃,特种玻璃,分布式发电,光热,光伏玻璃,涉矿,建筑节能,光伏建筑一体化,纯碱,钙钛矿电池",特斯拉,沪股通
002547.SZ,春兴精工,79.82,7.26,10.000,交运设备-汽车零部件-汽车零部件Ⅲ,"光伏,新能源汽车,储能,5G,消费电子,柔性屏,3D玻璃,铀矿,基站射频,一体化压铸,射频器,充电桩,融资租赁","工业4.0,华为,军工,特斯拉","富时罗素,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
002077.SZ,大港股份,71.11,12.54,10.000,电子-半导体及元件-集成电路封测,"锂电池,固废处理,激光,汽车芯片,节能环保,集成电路,芯片",地方国资改革,创投
003026.SZ,中晶科技,31.07,56.23,9.996,电子-半导体及元件-半导体材料,"汽车电子,芯片",,
603516.SH,淳中科技,29.35,15.85,9.993,计算机-计算机设备-计算机设备Ⅲ,"超清视频,航空航天,安防,芯片","智慧城市,军工",
605577.SH,龙版传媒,5.19,11.67,9.991,传媒-传媒-出版,"在线教育,知识产权保护,文化传媒",地方国资改革,"核准制次新股,新股与次新股"
600560.SH,金自天正,27.33,12.22,9.991,机械设备-专用设备-能源及重型设备,"人工智能,磁悬浮,工业机器人,超级高铁,机器人","工业4.0,地方国资改革,央企国资改革",
000070.SZ,特发信息,59.63,7.16,9.985,通信-通信设备-通信线缆及配套,"航空航天,光纤光缆,无人机,IPV6,5G,数据中心,云计算,大数据,特高压,芯片,光纤","军工,宽带中国,一带一路,地方国资改革,华为,新基建,东数西算（算力）,国资云,抖音,智慧城市","半年报预增,富时罗素,创投,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
002388.SZ,新亚制程,33.54,6.94,9.984,电子-其他电子-其他电子Ⅲ,"供应链金融,新能源汽车,超硬材料,有机硅,新材料,电子信息,融资租赁","郭台铭,富士康,华为",台湾股
603861.SH,白云电器,37.4,8.82,9.975,电力设备-电力设备-输变电设备,"特高压,柔性直流输电,轨道交通,智能电网",宁德时代,
600195.SH,中牧股份,127.24,12.46,9.974,农林牧渔-农业服务-动物保健,"动物疫苗,饲料,兽药,赛马","猪瘟疫情,医保目录,西尼罗病毒,地方国资改革,流感,禽流感,央企国资改革","融资融券,转融券标的,分拆上市意愿,参股保险"
600381.SH,青海春天,73.79,12.57,9.974,食品饮料-食品加工制造-其他食品,"中医药,涉矿,生物医药,白酒,冬虫夏草",,
600268.SH,国电南自,73.63,10.59,9.969,电力设备-电力设备-电气自控设备,"高铁,轨道交通,电力物联网,光伏,抽水蓄能,智能电网,海上风电,储能,新能源,虚拟电厂,有轨电车,超超临界发电,特高压,充电桩","新基建,地方国资改革,央企国资改革","融资融券,转融券标的"
000863.SZ,三湘印象,40.56,3.42,9.968,房地产-房地产开发-住宅开发,"元宇宙,绿色建筑,虚拟现实,智能家居,节能环保,物业管理,旅游,文化传媒,光伏建筑一体化",租售同权,"富时罗素,创投,富时罗素股"
600550.SH,保变电气,111.78,6.07,9.964,电力设备-电力设备-输变电设备,"柔性直流输电,智能电网,新能源,光热,特高压,人造太阳,核电","中兵系,地方国资改革,新基建,西电东送,央企国资改革","融资融券,转融券标的"
002536.SZ,飞龙股份,43.15,9.16,9.964,交运设备-汽车零部件-汽车零部件Ⅲ,"人工智能,新能源汽车,无人机,汽车热管理,燃料电池,汽车电子,芯片","蔚来汽车,比亚迪,军工,特斯拉,理想汽车,军用无人机",
002828.SZ,贝肯能源,13.62,8.84,9.950,石油石化-油气开采及服务-油服工程,"页岩气,油气开采,天然气","一带一路,俄乌冲突",参股银行
000037.SZ,深南电A,28.47,8.40,9.948,公用事业-电力-火电,"核电,固废处理,储能",,
603528.SH,多伦科技,46.25,7.41,9.941,计算机-计算机应用-软件开发,"职业教育,人工智能,卫星导航,物联网,在线教育,智能交通,云计算,无人驾驶,驾驶培训,机器视觉,芯片","滴滴股,国产软件,比亚迪",
002654.SZ,万润科技,33.86,4.43,9.926,电子-光学光电子-LED,"MiniLED,新能源汽车,ETC,数字营销,智能家居,节能照明,安防,柔性屏,文化传媒,大数据,广告营销,汽车电子","快手,比亚迪,军工,地方国资改革,华为,抖音,智慧城市,智慧灯杆","参股新三板,独角兽"
600355.SH,精伦电子,20.18,4.10,9.920,通信-通信设备-通信终端及配件,"人工智能,物联网,智能电视,在线教育,OLED,语音技术,数字电视,人脸识别,机器人,机器视觉,电子信息,云计算","新基建,国产操作系统,电子身份证,国产软件",壳资源
000973.SZ,佛塑科技,48.27,4.99,9.912,基础化工-化工合成材料-膜材料,"锂电池,煤化工,线型,OLED,OLED材料,新能源,口罩,体感3D,跨境电商,新材料,物流电商平台,分离膜,特高压",地方国资改革,"融资融券,转融券标的,参股新三板,证金持股"
002031.SZ,巨轮智能,88.79,4.77,9.908,机械设备-专用设备-其他专用设备,"人工智能,航空发动机,工业机器人,高端装备,减速器,冷链物流,工业母机,机器人,核电,汽车制造","新基建,工业4.0",
300356.SZ,*ST光一,10.53,2.69,9.796,电力设备-电力设备-电气自控设备,"电力物联网,智能电网,能源互联网,知识产权保护,区块链,大数据,云游戏","碳中和,网红经济","创投,ST板块,创业板重组松绑"
300933.SZ,中辰股份,21.76,9.27,9.704,电力设备-电力设备-线缆部件及其他,"特高压,智能电网",,"融资融券,转融券标的"
301237.SZ,和顺科技,9.14,48.20,9.570,基础化工-化工合成材料-膜材料,"消费电子,新材料,光伏",,"新股与次新股,融资融券,转融券标的,注册制次新股"
301208.SZ,中亦科技,8.87,53.20,9.398,计算机-计算机应用-IT服务,,,"新股与次新股,融资融券,转融券标的,注册制次新股"
300338.SZ,ST开元,8.65,2.92,9.363,社会服务-教育-教育Ⅲ,"物联网,虚拟数字人,在线教育,能源互联网,职业教育",,ST板块
002821.SZ,凯莱英,568.51,173.80,9.240,医药生物-医疗服务-医疗研发外包,"CRO,生物医药,抗癌,创新药",辉瑞,"深股通,半年报预增,富时罗素,融资融券,转融券标的,标普道琼斯A股,MSCI,富时罗素股"
603566.SH,普莱柯,108.34,33.70,9.168,农林牧渔-农业服务-动物保健,"动物疫苗,生物医药","禽流感,猪瘟疫情,宠物经济",创投
603260.SH,合盛硅业,1058.16,112.81,9.016,基础化工-化学制品-有机硅,"白炭黑,硅能源,石墨电极,多晶硅,有机硅,新材料",,"富时罗素,融资融券,转融券标的,沪股通,标普道琼斯A股,MSCI,富时罗素股"
300720.SZ,海川智能,23.19,13.46,8.988,机械设备-仪器仪表-仪器仪表Ⅲ,"服务机器人,机器人",,"创业板重组松绑,台湾股"
300537.SZ,广信材料,25.9,19.48,8.827,电子-电子化学品-电子化学品Ⅲ,"OLED,5G,PCB,新材料,光刻胶","富士康,华为",
300261.SZ,雅本化学,123.66,13.05,8.750,基础化工-化学制品-农药,"NMN,生物医药,固废处理,草地贪夜蛾防治,垃圾分类,抗癌,肝炎,工业大麻",新冠治疗,"融资融券,转融券标的,人民币贬值受益"
688331.SH,荣昌生物,21.91,53.05,8.442,医药生物-化学制药-化学制剂,生物医药,,"新股与次新股,融资融券,转融券标的,科创次新股,沪股通"
300143.SZ,盈康生命,62.5,11.45,8.428,医药生物-医疗服务-其他医疗服务,"冬虫夏草,抗癌,医疗器械",民营医院,"深股通,富时罗素"
301012.SZ,扬电科技,25.31,47.13,8.420,电力设备-电力设备-输变电设备,节能减排,,"融资融券,转融券标的,高送转预期"
300199.SZ,翰宇药业,82.11,13.05,8.389,医药生物-化学制药-化学制剂,"幽门螺杆菌,创新药,仿制药一致性评价,NMN,辅助生殖,口罩,多肽药,互联网医疗,新冠疫苗,智能医疗,乙肝治疗,肝炎,工业大麻","猴痘,医保目录,新冠检测,新冠治疗,三胎","融资融券,转融券标的,创投,富时罗素股"
300982.SZ,苏文电能,17.78,50.68,8.221,建筑装饰-建筑装饰-基础建设,"光伏,工业互联网,智能电网,储能,能源互联网,充电桩",,"深股通,融资融券,转融券标的"
002201.SZ,正威新材,106.64,16.40,8.179,建筑材料-建筑材料-玻璃玻纤,"航空航天,轨道交通,风电,特种玻璃,新材料,芯片,玻璃纤维",智慧灯杆,深股通
300273.SZ,*ST和佳,13.37,2.13,8.122,医药生物-医疗器械-医疗设备,"人工智能,细胞免疫治疗,口罩,互联网医疗,抗癌,智能医疗,医疗器械,生物安全","健康中国,民营医院,流感",ST板块
002441.SZ,众业达,43.75,10.97,8.079,电力设备-电力设备-输变电设备,"新能源汽车,充电桩,智能电网,电子商务",宁德时代,
605077.SH,华康股份,41.35,27.17,8.032,基础化工-化学制品-食品及饲料添加剂,代糖,大消费,人民币贬值受益
301233.SZ,盛帮股份,5.94,48.69,7.960,交运设备-汽车零部件-汽车零部件Ⅲ,"光伏,新能源汽车,风电,智能电网,航空发动机,核污染防治,核电","比亚迪,军工","新股与次新股,融资融券,转融券标的,注册制次新股"
688596.SH,正帆科技,50.96,25.40,7.947,机械设备-专用设备-其他专用设备,"集成电路,光伏",中芯国际,"融资融券,转融券标的"
603136.SH,天目湖,43.56,23.38,7.941,社会服务-景点及旅游-自然景点,旅游,,养老金持股
601968.SH,宝钢包装,78.93,8.72,7.921,轻工制造-包装印刷-包装,食品包装,"地方国资改革,央企国资改革",参股万达商业
002694.SZ,顾地科技,26.23,4.95,7.843,建筑材料-建筑材料-管材,"海绵城市,体育产业,水利,旅游,地下管网",新型城镇化,
300481.SZ,濮阳惠成,116.84,39.95,7.798,电子-电子化学品-电子化学品Ⅲ,"OLED,OLED材料,新材料",专精特新,半年报预增
688138.SH,清溢光电,16.59,20.34,7.676,电子-半导体及元件-半导体材料,"OLED,第三代半导体,芯片",中芯国际,"融资融券,转融券标的,半年报预增"
601007.SH,金陵饭店,32.29,8.28,7.672,社会服务-酒店及餐饮-酒店,"旅游,养老,预制菜","收入改革,地方国资改革",参股保险
002329.SZ,皇氏集团,37.53,7.04,7.645,食品饮料-食品加工制造-乳品,"数据交易中心,乳业,电子商务,SAAS,免税店,富媒体","商汤科技,智慧城市,两会",半年报预增
688212.SH,澳华内镜,14.93,51.98,7.552,医药生物-医疗器械-医疗设备,医疗器械,,"新股与次新股,融资融券,转融券标的,科创次新股"
600199.SH,金种子酒,169.12,25.71,7.528,食品饮料-饮料制造-白酒,白酒,"收入改革,地方国资改革","融资融券,转融券标的"
300294.SZ,博雅生物,144.69,33.97,7.432,医药生物-生物制品-血液制品,"仿制药一致性评价,生物疫苗,生物医药,肝素,血液制品","地方国资改革,央企国资改革","深股通,富时罗素,融资融券,转融券标的,富时罗素股"
601677.SH,明泰铝业,289.75,30.00,7.411,有色金属-工业金属-铝,"轨道交通,新能源汽车,5G,铝材加工,有色铝","新基建,比亚迪,军工",沪股通
688290.SH,景业智能,14.16,84.48,7.399,机械设备-自动化设备-机器人,"机器人,核电",军工,"新股与次新股,半年报预增,融资融券,转融券标的,科创次新股"
301112.SZ,信邦智能,11.53,48.55,7.269,机械设备-自动化设备-机器人,"航空航天,工业机器人,高端装备,无人机,智能制造,机器人,机器视觉,汽车制造","工业4.0,比亚迪","新股与次新股,人民币贬值受益,注册制次新股,融资融券,转融券标的,高送转预期"
600367.SH,红星发展,72.84,24.84,7.254,基础化工-化学原料-无机盐,"类稀土,锂电池,小金属,锌二氧化锰,正极材料,金属锰","稀缺资源,地方国资改革",半年报预增
301082.SZ,久盛电气,7.8,21.79,7.182,电力设备-电力设备-线缆部件及其他,核电,杭州亚运会,"新股与次新股,注册制次新股,融资融券,转融券标的,高送转预期"
688216.SH,气派科技,11.53,29.15,7.169,电子-半导体及元件-集成电路封测,"第三代半导体,芯片封装测试,5G,集成电路,芯片",,"融资融券,转融券标的"
300046.SZ,台基股份,47.45,20.06,7.158,电子-半导体及元件-分立器件,"柔性直流输电,第三代半导体,芯片制造,氮化镓,集成电路,IGBT,芯片",,
603569.SH,长久物流,43.99,7.85,7.094,交通运输-物流-物流Ⅲ,"新能源物流车,动力电池回收","统一大市场,一带一路,汽车关税下调","富时罗素,富时罗素股,标普道琼斯A股"
300769.SZ,德方纳米,535.68,377.80,7.077,电力设备-电力设备-电池,"新能源汽车,锂电池,储能,磷酸铁锂","宁德时代,专精特新","深股通,融资融券,转融券标的,送转填权"
301186.SZ,超达装备,7.19,39.51,7.073,交运设备-汽车零部件-汽车零部件Ⅲ,"新能源汽车,锂电池,换电","蔚来汽车,华为汽车,比亚迪,特斯拉","新股与次新股,融资融券,转融券标的,注册制次新股"
600128.SH,弘业股份,22.43,9.09,7.067,商贸零售-贸易-贸易Ⅲ,"知识产权保护,跨境电商,化肥,黄金","地方国资改革,金改","互联网期货,创投,人民币贬值受益,期货"
002879.SZ,长缆科技,26.91,19.99,7.013,电力设备-电力设备-线缆部件及其他,"智能电网,风电,柔性直流输电,磁悬浮",国产替代,养老金持股
688091.SH,上海谊众,35.36,139.24,6.993,医药生物-化学制药-化学制剂,抗肿瘤,,"新股与次新股,融资融券,转融券标的,科创次新股"
300019.SZ,硅宝科技,78.97,24.46,6.952,基础化工-化学制品-有机硅,"锂电池,光伏,硅能源,锂电原料,装配式建筑,有机硅,特高压,脱硫脱硝","宁德时代,比亚迪,军工",
300442.SZ,普丽盛,47.41,47.79,6.937,轻工制造-包装印刷-包装,"数据中心,食品包装","工业4.0,东数西算（算力）",创业板重组松绑
600171.SH,上海贝岭,162.97,23.21,6.860,电子-半导体及元件-集成电路设计,"锂电池,物联网,第三代半导体,超级计算机,智能电网,汽车电子,MCU芯片,芯片设计,汽车芯片,集成电路,无线耳机,IGBT,芯片","国产替代,地方国资改革,央企国资改革","富时罗素,央企控股,融资融券,转融券标的,沪股通,标普道琼斯A股,参股新三板,富时罗素股"
300802.SZ,矩子科技,36.29,24.11,6.823,机械设备-自动化设备-其他自动化设备,"MiniLED,光伏,高端装备,智能制造,机器视觉,机器人,芯片","小米,比亚迪,特斯拉,苹果,华为,国产替代","创投,送转填权"
300718.SZ,长盛轴承,38.58,20.83,6.821,机械设备-专用设备-工程机械,核电,特斯拉,
603639.SH,海利尔,72.47,21.66,6.805,基础化工-化学制品-农药,草地贪夜蛾防治,一带一路,标普道琼斯A股
300336.SZ,*ST新文,11.58,1.57,6.803,传媒-传媒-广告营销,"IP,影视娱乐,虚拟现实,电子竞技,大数据,广告营销,文化传媒","百度,京东金融,网红经济","股权转让,ST板块"
600130.SH,波导股份,31.49,4.10,6.771,电子-消费电子-消费电子零部件及组装,"汽车电子,智能终端",淘宝手机,"壳资源,融资融券,转融券标的"
